"year","prov","sector","scenario","emissions"
2011,"ON","Electricity","2024 Additional Measures Scenario",0
2011,"ON","Electricity","2024 Reference Case",0
2011,"ON","Electricity","NIR 2024",12.2
2011,"QC","Electricity","2024 Additional Measures Scenario",0
2011,"QC","Electricity","2024 Reference Case",0
2011,"QC","Electricity","NIR 2024",0.4
2011,"SK","Electricity","2024 Additional Measures Scenario",0
2011,"SK","Electricity","2024 Reference Case",0
2011,"SK","Electricity","NIR 2024",14.2
2012,"AB","Electricity","2024 Additional Measures Scenario",0
2012,"AB","Electricity","2024 Reference Case",0
2012,"AB","Electricity","NIR 2024",42.5
2012,"BC","Electricity","2024 Additional Measures Scenario",0
2012,"BC","Electricity","2024 Reference Case",0
2012,"BC","Electricity","NIR 2024",0.3
2012,"Canada","Electricity","2024 Additional Measures Scenario",0
2012,"Canada","Electricity","2024 Reference Case",0
2012,"Canada","Electricity","Fast GDP and Population Growth",0
2012,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2012,"Canada","Electricity","High Adoption Technology Scenario",0
2012,"Canada","Electricity","High Oil and Gas Prices",0
2012,"Canada","Electricity","Low Adoption Technology Scenario",0
2012,"Canada","Electricity","Low Oil and Gas Prices",0
2012,"Canada","Electricity","NIR 2024",82.3
2012,"Canada","Electricity","Slow GDP and Population Growth",0
2012,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2012,"MB","Electricity","2024 Additional Measures Scenario",0
2012,"MB","Electricity","2024 Reference Case",0
2012,"MB","Electricity","NIR 2024",0.1
2012,"ATL","Electricity","2024 Additional Measures Scenario",0
2012,"ATL","Electricity","2024 Reference Case",0
2012,"ATL","Electricity","NIR 2024",11.9
2012,"ON","Electricity","2024 Additional Measures Scenario",0
2012,"ON","Electricity","2024 Reference Case",0
2012,"ON","Electricity","NIR 2024",12.1
2012,"QC","Electricity","2024 Additional Measures Scenario",0
2012,"QC","Electricity","2024 Reference Case",0
2012,"QC","Electricity","NIR 2024",0.5
2012,"SK","Electricity","2024 Additional Measures Scenario",0
2012,"SK","Electricity","2024 Reference Case",0
2012,"SK","Electricity","NIR 2024",14.7
2013,"AB","Electricity","2024 Additional Measures Scenario",0
2013,"AB","Electricity","2024 Reference Case",0
2013,"AB","Electricity","NIR 2024",43.8
2013,"BC","Electricity","2024 Additional Measures Scenario",0
2013,"BC","Electricity","2024 Reference Case",0
2013,"BC","Electricity","NIR 2024",0.4
2013,"Canada","Electricity","2024 Additional Measures Scenario",0
2013,"Canada","Electricity","2024 Reference Case",0
2013,"Canada","Electricity","Fast GDP and Population Growth",0
2013,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2013,"Canada","Electricity","High Adoption Technology Scenario",0
2013,"Canada","Electricity","High Oil and Gas Prices",0
2013,"Canada","Electricity","Low Adoption Technology Scenario",0
2013,"Canada","Electricity","Low Oil and Gas Prices",0
2013,"Canada","Electricity","NIR 2024",79.6
2013,"Canada","Electricity","Slow GDP and Population Growth",0
2013,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2013,"MB","Electricity","2024 Additional Measures Scenario",0
2013,"MB","Electricity","2024 Reference Case",0
2013,"MB","Electricity","NIR 2024",0.1
2013,"ATL","Electricity","2024 Additional Measures Scenario",0
2013,"ATL","Electricity","2024 Reference Case",0
2013,"ATL","Electricity","NIR 2024",11.9
2013,"ON","Electricity","2024 Additional Measures Scenario",0
2013,"ON","Electricity","2024 Reference Case",0
2013,"ON","Electricity","NIR 2024",9.2
2013,"QC","Electricity","2024 Additional Measures Scenario",0
2013,"QC","Electricity","2024 Reference Case",0
2013,"QC","Electricity","NIR 2024",0.4
2013,"SK","Electricity","2024 Additional Measures Scenario",0
2013,"SK","Electricity","2024 Reference Case",0
2013,"SK","Electricity","NIR 2024",13.6
2014,"AB","Electricity","2024 Additional Measures Scenario",0
2014,"AB","Electricity","2024 Reference Case",0
2014,"AB","Electricity","NIR 2024",42.8
2014,"BC","Electricity","2024 Additional Measures Scenario",0
2014,"BC","Electricity","2024 Reference Case",0
2014,"BC","Electricity","NIR 2024",0.3
2014,"Canada","Electricity","2024 Additional Measures Scenario",0
2014,"Canada","Electricity","2024 Reference Case",0
2014,"Canada","Electricity","Fast GDP and Population Growth",0
2014,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2014,"Canada","Electricity","High Adoption Technology Scenario",0
2014,"Canada","Electricity","High Oil and Gas Prices",0
2014,"Canada","Electricity","Low Adoption Technology Scenario",0
2014,"Canada","Electricity","Low Oil and Gas Prices",0
2014,"Canada","Electricity","NIR 2024",75.1
2014,"Canada","Electricity","Slow GDP and Population Growth",0
2014,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2014,"MB","Electricity","2024 Additional Measures Scenario",0
2014,"MB","Electricity","2024 Reference Case",0
2014,"MB","Electricity","NIR 2024",0.1
2014,"ATL","Electricity","2024 Additional Measures Scenario",0
2014,"ATL","Electricity","2024 Reference Case",0
2014,"ATL","Electricity","NIR 2024",12.1
2014,"ON","Electricity","2024 Additional Measures Scenario",0
2014,"ON","Electricity","2024 Reference Case",0
2014,"ON","Electricity","NIR 2024",5.4
2014,"QC","Electricity","2024 Additional Measures Scenario",0
2014,"QC","Electricity","2024 Reference Case",0
2014,"QC","Electricity","NIR 2024",0.3
2014,"SK","Electricity","2024 Additional Measures Scenario",0
2014,"SK","Electricity","2024 Reference Case",0
2014,"SK","Electricity","NIR 2024",13.8
2015,"AB","Electricity","2024 Additional Measures Scenario",0
2015,"AB","Electricity","2024 Reference Case",0
2015,"AB","Electricity","NIR 2024",41.3
2015,"BC","Electricity","2024 Additional Measures Scenario",0
2015,"BC","Electricity","2024 Reference Case",0
2015,"BC","Electricity","NIR 2024",0.3
2015,"Canada","Electricity","2024 Additional Measures Scenario",0
2015,"Canada","Electricity","2024 Reference Case",0
2015,"Canada","Electricity","Fast GDP and Population Growth",0
2015,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2015,"Canada","Electricity","High Adoption Technology Scenario",0
2015,"Canada","Electricity","High Oil and Gas Prices",0
2015,"Canada","Electricity","Low Adoption Technology Scenario",0
2015,"Canada","Electricity","Low Oil and Gas Prices",0
2015,"Canada","Electricity","NIR 2024",74.7
2015,"Canada","Electricity","Slow GDP and Population Growth",0
2015,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2015,"MB","Electricity","2024 Additional Measures Scenario",0
2015,"MB","Electricity","2024 Reference Case",0
2015,"MB","Electricity","NIR 2024",0.1
2015,"ATL","Electricity","2024 Additional Measures Scenario",0
2015,"ATL","Electricity","2024 Reference Case",0
2015,"ATL","Electricity","NIR 2024",12.1
2015,"ON","Electricity","2024 Additional Measures Scenario",0
2015,"ON","Electricity","2024 Reference Case",0
2015,"ON","Electricity","NIR 2024",5.5
2015,"QC","Electricity","2024 Additional Measures Scenario",0
2015,"QC","Electricity","2024 Reference Case",0
2015,"QC","Electricity","NIR 2024",0.3
2015,"SK","Electricity","2024 Additional Measures Scenario",0
2015,"SK","Electricity","2024 Reference Case",0
2015,"SK","Electricity","NIR 2024",14.8
2016,"AB","Electricity","2024 Additional Measures Scenario",0
2016,"AB","Electricity","2024 Reference Case",0
2016,"AB","Electricity","NIR 2024",42.4
2016,"BC","Electricity","2024 Additional Measures Scenario",0
2016,"BC","Electricity","2024 Reference Case",0
2016,"BC","Electricity","NIR 2024",0.2
2016,"Canada","Electricity","2024 Additional Measures Scenario",0
2016,"Canada","Electricity","2024 Reference Case",0
2016,"Canada","Electricity","Fast GDP and Population Growth",0
2016,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2016,"Canada","Electricity","High Adoption Technology Scenario",0
2016,"Canada","Electricity","High Oil and Gas Prices",0
2016,"Canada","Electricity","Low Adoption Technology Scenario",0
2016,"Canada","Electricity","Low Oil and Gas Prices",0
2016,"Canada","Electricity","NIR 2024",75
2016,"Canada","Electricity","Slow GDP and Population Growth",0
2016,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2016,"MB","Electricity","2024 Additional Measures Scenario",0
2016,"MB","Electricity","2024 Reference Case",0
2016,"MB","Electricity","NIR 2024",0.1
2016,"ATL","Electricity","2024 Additional Measures Scenario",0
2016,"ATL","Electricity","2024 Reference Case",0
2016,"ATL","Electricity","NIR 2024",12.2
2016,"ON","Electricity","2024 Additional Measures Scenario",0
2016,"ON","Electricity","2024 Reference Case",0
2016,"ON","Electricity","NIR 2024",4.9
2016,"QC","Electricity","2024 Additional Measures Scenario",0
2016,"QC","Electricity","2024 Reference Case",0
2016,"QC","Electricity","NIR 2024",0.3
2016,"SK","Electricity","2024 Additional Measures Scenario",0
2016,"SK","Electricity","2024 Reference Case",0
2016,"SK","Electricity","NIR 2024",14.7
2017,"AB","Electricity","2024 Additional Measures Scenario",0
2017,"AB","Electricity","2024 Reference Case",0
2017,"AB","Electricity","NIR 2024",42.5
2017,"BC","Electricity","2024 Additional Measures Scenario",0
2017,"BC","Electricity","2024 Reference Case",0
2017,"BC","Electricity","NIR 2024",0.1
2017,"Canada","Electricity","2024 Additional Measures Scenario",0
2017,"Canada","Electricity","2024 Reference Case",0
2017,"Canada","Electricity","Fast GDP and Population Growth",0
2017,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2017,"Canada","Electricity","High Adoption Technology Scenario",0
2017,"Canada","Electricity","High Oil and Gas Prices",0
2017,"Canada","Electricity","Low Adoption Technology Scenario",0
2017,"Canada","Electricity","Low Oil and Gas Prices",0
2017,"Canada","Electricity","NIR 2024",72.3
2017,"Canada","Electricity","Slow GDP and Population Growth",0
2017,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2017,"MB","Electricity","2024 Additional Measures Scenario",0
2017,"MB","Electricity","2024 Reference Case",0
2017,"MB","Electricity","NIR 2024",0.1
2017,"ATL","Electricity","2024 Additional Measures Scenario",0
2017,"ATL","Electricity","2024 Reference Case",0
2017,"ATL","Electricity","NIR 2024",11.6
2017,"ON","Electricity","2024 Additional Measures Scenario",0
2017,"ON","Electricity","2024 Reference Case",0
2017,"ON","Electricity","NIR 2024",2.2
2017,"QC","Electricity","2024 Additional Measures Scenario",0
2017,"QC","Electricity","2024 Reference Case",0
2017,"QC","Electricity","NIR 2024",0.3
2017,"SK","Electricity","2024 Additional Measures Scenario",0
2017,"SK","Electricity","2024 Reference Case",0
2017,"SK","Electricity","NIR 2024",15.3
2018,"AB","Electricity","2024 Additional Measures Scenario",0
2018,"AB","Electricity","2024 Reference Case",0
2018,"AB","Electricity","NIR 2024",31.4
2018,"BC","Electricity","2024 Additional Measures Scenario",0
2018,"BC","Electricity","2024 Reference Case",0
2018,"BC","Electricity","NIR 2024",0.3
2018,"Canada","Electricity","2024 Additional Measures Scenario",0
2018,"Canada","Electricity","2024 Reference Case",0
2018,"Canada","Electricity","Fast GDP and Population Growth",0
2018,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2018,"Canada","Electricity","High Adoption Technology Scenario",0
2018,"Canada","Electricity","High Oil and Gas Prices",0
2018,"Canada","Electricity","Low Adoption Technology Scenario",0
2018,"Canada","Electricity","Low Oil and Gas Prices",0
2018,"Canada","Electricity","NIR 2024",62.5
2018,"Canada","Electricity","Slow GDP and Population Growth",0
2018,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2018,"MB","Electricity","2024 Additional Measures Scenario",0
2018,"MB","Electricity","2024 Reference Case",0
2018,"MB","Electricity","NIR 2024",0
2018,"ATL","Electricity","2024 Additional Measures Scenario",0
2018,"ATL","Electricity","2024 Reference Case",0
2018,"ATL","Electricity","NIR 2024",11.7
2018,"ON","Electricity","2024 Additional Measures Scenario",0
2018,"ON","Electricity","2024 Reference Case",0
2018,"ON","Electricity","NIR 2024",3.5
2018,"QC","Electricity","2024 Additional Measures Scenario",0
2018,"QC","Electricity","2024 Reference Case",0
2018,"QC","Electricity","NIR 2024",0.3
2018,"SK","Electricity","2024 Additional Measures Scenario",0
2018,"SK","Electricity","2024 Reference Case",0
2018,"SK","Electricity","NIR 2024",14.9
2019,"AB","Electricity","2024 Additional Measures Scenario",0
2019,"AB","Electricity","2024 Reference Case",0
2019,"AB","Electricity","NIR 2024",31
2019,"BC","Electricity","2024 Additional Measures Scenario",0
2019,"BC","Electricity","2024 Reference Case",0
2019,"BC","Electricity","NIR 2024",0.6
2019,"Canada","Electricity","2024 Additional Measures Scenario",0
2019,"Canada","Electricity","2024 Reference Case",0
2019,"Canada","Electricity","Fast GDP and Population Growth",0
2019,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2019,"Canada","Electricity","High Adoption Technology Scenario",0
2019,"Canada","Electricity","High Oil and Gas Prices",0
2019,"Canada","Electricity","Low Adoption Technology Scenario",0
2019,"Canada","Electricity","Low Oil and Gas Prices",0
2019,"Canada","Electricity","NIR 2024",61.4
2019,"Canada","Electricity","Slow GDP and Population Growth",0
2019,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2019,"MB","Electricity","2024 Additional Measures Scenario",0
2019,"MB","Electricity","2024 Reference Case",0
2019,"MB","Electricity","NIR 2024",0
2019,"ATL","Electricity","2024 Additional Measures Scenario",0
2019,"ATL","Electricity","2024 Reference Case",0
2019,"ATL","Electricity","NIR 2024",11
2019,"ON","Electricity","2024 Additional Measures Scenario",0
2019,"ON","Electricity","2024 Reference Case",0
2019,"ON","Electricity","NIR 2024",3.4
2019,"QC","Electricity","2024 Additional Measures Scenario",0
2019,"QC","Electricity","2024 Reference Case",0
2019,"QC","Electricity","NIR 2024",0.3
2019,"SK","Electricity","2024 Additional Measures Scenario",0
2019,"SK","Electricity","2024 Reference Case",0
2019,"SK","Electricity","NIR 2024",14.8
2020,"AB","Electricity","2024 Additional Measures Scenario",0
2020,"AB","Electricity","2024 Reference Case",0
2020,"AB","Electricity","NIR 2024",27.1
2020,"BC","Electricity","2024 Additional Measures Scenario",0
2020,"BC","Electricity","2024 Reference Case",0
2020,"BC","Electricity","NIR 2024",0.2
2020,"Canada","Electricity","2024 Additional Measures Scenario",0
2020,"Canada","Electricity","2024 Reference Case",0
2020,"Canada","Electricity","Fast GDP and Population Growth",0
2020,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2020,"Canada","Electricity","High Adoption Technology Scenario",0
2020,"Canada","Electricity","High Oil and Gas Prices",0
2020,"Canada","Electricity","Low Adoption Technology Scenario",0
2020,"Canada","Electricity","Low Oil and Gas Prices",0
2020,"Canada","Electricity","NIR 2024",53.2
2020,"Canada","Electricity","Slow GDP and Population Growth",0
2020,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2020,"MB","Electricity","2024 Additional Measures Scenario",0
2020,"MB","Electricity","2024 Reference Case",0
2020,"MB","Electricity","NIR 2024",0
2020,"ATL","Electricity","2024 Additional Measures Scenario",0
2020,"ATL","Electricity","2024 Reference Case",0
2020,"ATL","Electricity","NIR 2024",9.4
2020,"ON","Electricity","2024 Additional Measures Scenario",0
2020,"ON","Electricity","2024 Reference Case",0
2020,"ON","Electricity","NIR 2024",3.2
2020,"QC","Electricity","2024 Additional Measures Scenario",0
2020,"QC","Electricity","2024 Reference Case",0
2020,"QC","Electricity","NIR 2024",0.4
2020,"SK","Electricity","2024 Additional Measures Scenario",0
2020,"SK","Electricity","2024 Reference Case",0
2020,"SK","Electricity","NIR 2024",12.6
2021,"AB","Electricity","2024 Additional Measures Scenario",0
2021,"AB","Electricity","2024 Reference Case",0
2021,"AB","Electricity","NIR 2024",22.6
2021,"BC","Electricity","2024 Additional Measures Scenario",0
2021,"BC","Electricity","2024 Reference Case",0
2021,"BC","Electricity","NIR 2024",0.4
2021,"Canada","Electricity","2024 Additional Measures Scenario",0
2021,"Canada","Electricity","2024 Reference Case",0
2021,"Canada","Electricity","Fast GDP and Population Growth",0
2021,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2021,"Canada","Electricity","High Adoption Technology Scenario",0
2021,"Canada","Electricity","High Oil and Gas Prices",0
2021,"Canada","Electricity","Low Adoption Technology Scenario",0
2021,"Canada","Electricity","Low Oil and Gas Prices",0
